date,price
690 ,598.3373
691 ,602.0924
692 ,613.8573
693 ,627.1972
694 ,616.6425
695 ,624.6234
696 ,624.3257
697 ,651.1015
698 ,660.6383
699 ,651.8699
700 ,660.8304
701 ,690.6315
702 ,662.9144
703 ,652.254
704 ,650.4293
705 ,624.7578
706 ,608.6328
707 ,605.0889
708 ,596.6854
709 ,622.5585
710 ,612.8489
711 ,606.0109
712 ,597.7034
713 ,612.532
714 ,607.8933
715 ,600.2581
716 ,592.2676
717 ,602.4382
718 ,625.2092
719 ,625.5262
720 ,641.7473
721 ,638.2322
722 ,627.8983
723 ,639.4039
724 ,640.6716
725 ,657.7859
726 ,654.7414
727 ,655.8747
728 ,660.8688
729 ,653.8483
730 ,637.8769
731 ,690.2281
732 ,669.8677
733 ,675.9758
734 ,687.5102
735 ,707.8802
736 ,709.1192
737 ,722.3438
738 ,751.5303
739 ,754.594
740 ,744.1256
741 ,757.1967
742 ,754.2674
743 ,742.3297
744 ,718.3102
745 ,721.0089
746 ,720.4711
747 ,743.002
748 ,743.1364
749 ,734.1855
750 ,738.6994
751 ,746.4402
752 ,707.1599
753 ,712.6918
754 ,734.2624
755 ,727.7221
756 ,711.0784
757 ,689.7864
758 ,680.7874
759 ,656.3645
760 ,673.2291
761 ,656.3645
762 ,669.8581
763 ,683.7839
764 ,689.9976
765 ,713.0472
766 ,713.076
767 ,714.0652
768 ,708.7542
769 ,696.8837
770 ,712.5862
771 ,707.2464
772 ,691.5919
773 ,689.8152
774 ,681.9207
775 ,694.137
776 ,699.3615
777 ,695.2798
778 ,682.2184
779 ,698.0938
780 ,716.908
781 ,710.5501
782 ,723.6404
783 ,718.1181
784 ,712.615
785 ,697.3255
786 ,682.9003
787 ,685.2341
788 ,686.4346
789 ,655.0392
790 ,661.81
791 ,656.547
792 ,653.128
793 ,651.0631
794 ,666.5255
795 ,670.6456
796 ,679.9807
797 ,677.426
798 ,666.708
799 ,659.6587
800 ,654.3957
801 ,639.8169
802 ,629.6751
803 ,653.0319
804 ,643.7161
805 ,647.3176
806 ,662.5591
807 ,663.6059
808 ,651.3704
809 ,636.2922
810 ,641.3823
811 ,644.3115
812 ,636.6187
813 ,670.5208
814 ,680.7586
815 ,674.1511
816 ,685.9063
817 ,689.5847
818 ,713.0088
819 ,713.633
820 ,705.4312
821 ,698.574
822 ,710.0411
823 ,705.7193
824 ,710.2812
825 ,695.1166
826 ,687.0684
827 ,688.4706
828 ,711.0784
829 ,702.4636
830 ,697.1238
831 ,721.3834
832 ,715.6018
833 ,751.0021
834 ,756.8413
835 ,754.6324
836 ,750.0417
837 ,747.1413
838 ,745.0092
839 ,767.5401
840 ,759.031
841 ,754.9973
842 ,753.244
843 ,718.8316
844 ,743.757
845 ,739.5979
846 ,746.6206
847 ,745.6758
848 ,735.1953
849 ,703.6758
850 ,692.4647
851 ,712.4615
852 ,693.0686
853 ,676.8706
854 ,672.9647
855 ,684.1465
856 ,695.5719
857 ,708.3511
858 ,706.9095
859 ,700.89
860 ,718.3836
861 ,727.5881
862 ,735.0784
863 ,723.1466
864 ,718.2862
865 ,721.705
866 ,721.8803
867 ,713.0556
868 ,726.0394
869 ,724.4907
870 ,716.5134
871 ,719.3771
872 ,700.5297
873 ,707.5719
874 ,696.3706
875 ,677.7667
876 ,661.3543
877 ,652.2861
878 ,668.455
879 ,658.6563
880 ,673.9095
881 ,669.3316
882 ,661.5783
883 ,662.4647
884 ,645.5848
885 ,631.5978
886 ,618.3705
887 ,628.0426
888 ,654.0491
889 ,650.3575
890 ,652.8024
891 ,643.1498
892 ,669.4485
893 ,663.3121
894 ,668.0361
895 ,662.7277
896 ,642.0686
897 ,648.9062
898 ,657.5069
899 ,640.7049
900 ,627.2731
901 ,634.0621
902 ,628.0523
903 ,629.2212
904 ,613.6367
905 ,615.5653
906 ,626.2017
907 ,629.0361
908 ,649.3835
909 ,663.7212
910 ,660.9257
911 ,681.8283
912 ,678.916
913 ,706.1011
914 ,705.1952
915 ,711.0394
916 ,668.3283
917 ,676.9485
918 ,653.4939
919 ,628.2374
920 ,650.6498
921 ,649.5783
922 ,649.8121
923 ,648.429
924 ,629.1627
925 ,652.5978
926 ,675.0004
927 ,625.0718
928 ,620.4452
929 ,602.9225
930 ,594.2536
931 ,534.8283
932 ,510.3899
933 ,534.6432
934 ,548.377
935 ,584.3185
936 ,560.8445
937 ,551.299
938 ,551.6887
939 ,555.5263
940 ,547.4029
941 ,537.6627
942 ,555.1952
943 ,540.6822
944 ,545.1627
945 ,545.4549
946 ,554.2406
947 ,547.0133
948 ,550.0328
949 ,549.838
950 ,542.4354
951 ,537.7698
952 ,533.864
953 ,542.5328
954 ,537.2731
955 ,550.325
956 ,585.5848
957 ,586.588
958 ,594.2536
959 ,576.4289
960 ,571.7536
961 ,562.2374
962 ,567.8478
963 ,573.7017
964 ,586.1205
965 ,577.5588
966 ,575.1822
967 ,575.5913
968 ,562.7926
969 ,559.5783
970 ,552.6724
971 ,553.2471
972 ,551.0945
973 ,545.5328
974 ,548.377
975 ,574.6854
976 ,583.4224
977 ,574.6757
978 ,586.364
979 ,589.7634
980 ,589.0815
981 ,600.1173
982 ,602.6984
983 ,619.364
984 ,608.377
985 ,642.8381
986 ,643.929
987 ,642.127
988 ,665.8543
989 ,669.1368
990 ,653.5718
991 ,648.3705
992 ,655.0329
993 ,662.0459
994 ,659.416
995 ,667.2082
996 ,658.442
997 ,671.6887
998 ,674.679
999 ,706.4615
1000 ,699.2732
1001 ,716.153
1002 ,718.0134
1003 ,705.955
1004 ,720.7797
1005 ,711.7797
1006 ,703.2472
1007 ,701.5426
1008 ,707.153
1009 ,723.0492
1010 ,708.4582
1011 ,721.4615
1012 ,735.3998
1013 ,768.7992
1014 ,761.5524
1015 ,759.5264
1016 ,748.0524
1017 ,729.1563
1018 ,718.3446
1019 ,738.8381
1020 ,725.6595
1021 ,734.416
1022 ,757.7927
1023 ,757.1109
1024 ,789.0492
1025 ,772.0232
1026 ,772.2083
1027 ,765.3414
1028 ,773.3771
1029 ,755.455
1030 ,752.9225
1031 ,768.02
1032 ,785.8446
1033 ,831.809
1034 ,836.6888
1035 ,827.9226
1036 ,822.5654
1037 ,842.533
1038 ,876.8187
1039 ,881.4941
1040 ,923.3675
1041 ,901.1694
1042 ,890.2603
1043 ,883.4421
1044 ,915.4876
1045 ,927.2733
1046 ,920.9421
1047 ,927.8188
1048 ,924.546
1049 ,949.6272
1050 ,944.8058
1051 ,927.6337
1052 ,920.4551
1053 ,946.7246
1054 ,948.7019
1055 ,882.4681
1056 ,866.8837
1057 ,861.4291
1058 ,836.5038
1059 ,883.559
1060 ,868.8317
1061 ,863.5427
1062 ,902.9226
1063 ,905.7571
1064 ,883.2376
1065 ,861.9746
1066 ,871.7538
1067 ,864.9356
1068 ,838.6369
1069 ,855.6824
1070 ,856.1694
1071 ,864.9356
1072 ,888.2246
1073 ,881.7863
1074 ,866.8837
1075 ,868.8317
1076 ,852.5655
1077 ,848.9616
1078 ,839.7375
1079 ,848.4551
1080 ,887.2311
1081 ,883.1499
1082 ,886.3642
1083 ,889.2863
1084 ,887.9226
1085 ,893.1824
1086 ,907.8025
1087 ,949.6759
1088 ,950.9421
1089 ,961.4616
1090 ,957.4486
1091 ,954.4097
1092 ,970.4714
1093 ,972.6357
1094 ,1019.943
1095 ,1013.1622
1096 ,976.4907
1097 ,969.8681
1098 ,988.273
1099 ,973.4858
1100 ,964.7874
1101 ,971.1728
1102 ,970.1646
1103 ,974.7016
1104 ,964.6589
1105 ,956.8205
1106 ,952.3725
1107 ,936.5573
1108 ,944.8306
1109 ,945.9673
1110 ,942.9624
1111 ,935.4304
1112 ,951.8783
1113 ,953.8848
1114 ,965.1334
1115 ,967.6243
1116 ,961.3674
1117 ,948.221
1118 ,943.427
1119 ,931.5458
1120 ,935.3711
1121 ,934.0861
1122 ,960.458
1123 ,950.9195
1124 ,1006.8658
1125 ,1006.1936
1126 ,1031.2805
1127 ,1032.8324
1128 ,1042.4204
1129 ,1043.6856
1130 ,1057.6425
1131 ,1053.6887
1132 ,1091.2498
1133 ,1117.0484
1134 ,1090.212
1135 ,1096.1921
1136 ,1087.4048
1137 ,1100.2447
1138 ,1128.811
1139 ,1125.6084
1140 ,1126.8341
1141 ,1112.0172
1142 ,1130.7879
1143 ,1129.2953
1144 ,1123.3943
1145 ,1110.8706
1146 ,1057.168
1147 ,1086.3076
1148 ,1086.3076
1149 ,1081.3752
1150 ,1135.6313
1151 ,1131.7763
1152 ,1144.0529
1153 ,1135.7301
1154 ,1170.3259
1155 ,1160.4414
1156 ,1153.5222
1157 ,1161.1827
1158 ,1136.7186
1159 ,1153.6211
1160 ,1133.5654
1161 ,1141.6608
1162 ,1161.0345
1163 ,1166.3721
1164 ,1197.0141
1165 ,1156.4876
1166 ,1169.6636
1167 ,1162.2107
1168 ,1155.0049
1169 ,1157.2784
1170 ,1145.5257
1171 ,1136.9855
1172 ,1157.822
1173 ,1164.6819
1174 ,1179.222
1175 ,1170.1282
1176 ,1166.382
1177 ,1171.3144
1178 ,1185.7359
1179 ,1185.1527
1180 ,1179.222
1181 ,1187.4953
1182 ,1191.0834
1183 ,1185.1527
1184 ,1187.7226
1185 ,1209.8639
1186 ,1215.7947
1187 ,1210.7536
1188 ,1213.1061
1189 ,1218.0879
1190 ,1219.5013
